,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
598,Những Người Phụ Nữ Bé Nhỏ,2019,135 min,7.8,91        ,"162,325",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
599,Vincent Thương Mến,2017,94 min,7.8,62        ,"53,712",$6.74M,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there."
600,Pride,I) (,119 min,7.8,79        ,"54,029",,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
601,Kẻ Săn Tin Đen,2014,117 min,7.8,76        ,"491,353",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
602,Star Wars: Thần Lực Thức Tỉnh,2015,138 min,7.8,80        ,"881,946",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
603,La grande bellezza,2013,141 min,7.8,86        ,"83,930",$2.85M,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
604,The Lunchbox,2013,104 min,7.8,76        ,"53,000",$4.23M,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
605,Vicky Donor,2012,126 min,7.8,,"41,233",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
606,Biệt Đội Big Hero 6,2014,102 min,7.8,74        ,"426,965",$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
607,Kai po che!,2013,130 min,7.8,40        ,"34,990",$1.12M,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
608,Dã Dên Lúc,I) (,123 min,7.8,55        ,"320,078",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
609,Tiêng Anh Là Chuyên Nho,2012,134 min,7.8,,"34,837",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
610,Kaze tachinu,2013,126 min,7.8,83        ,"78,314",$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
611,La migliore offerta,2013,131 min,7.8,49        ,"112,584",$0.09M,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
612,Moonrise Kingdom,2012,94 min,7.8,84        ,"329,844",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
613,Bí Kíp Luyện Rồng 2,2014,102 min,7.8,76        ,"315,465",$177.00M,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
614,The Big Short,2015,130 min,7.8,81        ,"385,448",$70.26M,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is."
615,Ang-ma-reul bo-at-da,2010,144 min,7.8,67        ,"118,352",$0.13M,A secret agent exacts revenge on a serial killer through a series of captures and releases.
616,Cô Gái Có Hình Xăm Rồng,2011,158 min,7.8,71        ,"437,722",$102.52M,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
617,Thuyên Truong Phillips,2013,134 min,7.8,82        ,"435,553",$107.10M,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
618,Ajeossi,2010,119 min,7.8,,"65,768",$0.01M,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
619,Straight Outta Compton,2015,147 min,7.8,72        ,"187,096",$161.20M,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
620,Người Đàn Ông Ireland,2019,209 min,7.8,94        ,"348,171",$7.00M,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.
621,Madeo,2009,129 min,7.8,79        ,"57,633",$0.55M,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
622,Chugyeokja,2008,125 min,7.8,64        ,"61,576",,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.
623,Moon,2009,97 min,7.8,67        ,"344,084",$5.01M,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
624,Người Hobbit: Đại Chiến Với Rồng Lửa,2013,161 min,7.8,66        ,"618,817",$258.37M,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
625,Das weiße Band - Eine deutsche Kindergeschichte,2009,144 min,7.8,82        ,"70,782",$2.22M,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?"
626,Män som hatar kvinnor,2009,152 min,7.8,76        ,"212,017",$10.10M,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
627,Phiên Tòa Chicago 7,2020,129 min,7.8,76        ,"155,256",,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
628,Druk,2020,117 min,7.8,79        ,"100,219",,Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
629,Võ Sĩ,I) (,116 min,7.8,79        ,"349,925",$93.62M,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
630,Taken,I) (,90 min,7.8,51        ,"578,131",$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
631,The Boy in the Striped Pyjamas,2008,94 min,7.8,55        ,"197,960",$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
632,Once,I) (,86 min,7.8,88        ,"113,060",$9.44M,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story."
633,Người Hobbit: Hành Trình Vô Định,2012,169 min,7.8,58        ,"777,279",$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
634,Auf der anderen Seite,2007,122 min,7.8,85        ,"31,452",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
635,Chuộc Lỗi,2007,123 min,7.8,85        ,"261,057",$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
636,Drive,I) (,100 min,7.8,78        ,"591,458",$35.06M,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.
637,American Gangster,2007,157 min,7.8,76        ,"404,141",$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
638,Avatar,2009,162 min,7.8,83        ,"1,151,302",$760.51M,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
639,Mr. Nobody,2009,141 min,7.8,63        ,"222,991",$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
640,Apocalypto,2006,139 min,7.8,68        ,"298,423",$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
641,The Fall,2006,117 min,7.8,64        ,"109,301",$2.28M,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
642,Little Miss Sunshine,2006,101 min,7.8,80        ,"452,808",$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
643,Hot Fuzz,2007,121 min,7.8,81        ,"479,583",$23.64M,A skilled London police officer is transferred to a small town with a dark secret.
644,The Curious Case of Benjamin Button,2008,166 min,7.8,70        ,"610,131",$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
645,Veer-Zaara,2004,192 min,7.8,67        ,"50,843",$2.92M,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever."
646,Adams æbler,2005,94 min,7.8,51        ,"47,846",$0.00M,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.
647,Kiêu Hãnh và Định Kiến,2005,129 min,7.8,82        ,"271,242",$38.41M,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
648,The World's Fastest Indian,2005,127 min,7.8,68        ,"53,215",$5.13M,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967."
649,Tôkyô goddofâzâzu,2003,90 min,7.8,73        ,"34,048",$0.13M,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents."
650,Serenity,2005,119 min,7.8,74        ,"288,425",$25.51M,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.
651,Walk the Line,2005,136 min,7.8,72        ,"240,190",$119.52M,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
652,Ondskan,2003,113 min,7.8,61        ,"36,567",$0.02M,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
653,The Notebook,2004,123 min,7.8,53        ,"537,720",$81.00M,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences."
